Start time	End time	Location	Type	Place
2012-11-11 21:14:21	2012-11-12 00:21:49	Seat	Pressure	Living
2012-11-12 00:22:57	2012-11-12 00:22:59	Door	PIR	Living
2012-11-12 00:23:14	2012-11-12 00:23:17	Door	PIR	Kitchen
2012-11-12 00:24:20	2012-11-12 00:24:22	Door	PIR	Kitchen
2012-11-12 00:24:42	2012-11-12 00:24:54	Door	PIR	Living
2012-11-12 00:25:35	2012-11-12 00:42:56	Seat	Pressure	Living
2012-11-12 00:43:46	2012-11-12 00:43:49	Door	PIR	Living
2012-11-12 00:46:12	2012-11-12 00:46:15	Door	PIR	Bedroom
2012-11-12 00:47:21	2012-11-12 00:47:24	Door	PIR	Bedroom
2012-11-12 00:48:38	2012-11-12 00:50:12	Basin	PIR	Bathroom
